component_name,roi_type,center_x_px,center_y_px,width_px,height_px,pixel_count,pixel_list
J4,Cursor_3x3,385.64,202.80,1,1,9,"[(385, 202), (385, 203), (385, 204), (386, 202), (386, 203), (386, 204), (387, 202), (387, 203), (387, 204)]"
J4,Cursor_3x3,420.53,283.43,1,1,9,"[(420, 282), (420, 283), (420, 284), (421, 282), (421, 283), (421, 284), (422, 282), (422, 283), (422, 284)]"
J5,Cursor_3x3,140.31,232.50,1,1,9,"[(139, 232), (139, 233), (139, 234), (140, 232), (140, 233), (140, 234), (141, 232), (141, 233), (141, 234)]"
J6,Cursor_3x3,415.64,176.43,1,1,9,"[(415, 175), (415, 176), (415, 177), (416, 175), (416, 176), (416, 177), (417, 175), (417, 176), (417, 177)]"
J6,Cursor_3x3,203.64,286.63,1,1,9,"[(203, 286), (203, 287), (203, 288), (204, 286), (204, 287), (204, 288), (205, 286), (205, 287), (205, 288)]"
J7,Cursor_3x3,234.59,287.06,1,1,9,"[(234, 286), (234, 287), (234, 288), (235, 286), (235, 287), (235, 288), (236, 286), (236, 287), (236, 288)]"
J7,Cursor_3x3,312.28,286.28,1,1,9,"[(311, 285), (311, 286), (311, 287), (312, 285), (312, 286), (312, 287), (313, 285), (313, 286), (313, 287)]"
J8,Cursor_3x3,349.54,288.05,1,1,9,"[(349, 287), (349, 288), (349, 289), (350, 287), (350, 288), (350, 289), (351, 287), (351, 288), (351, 289)]"
J9,Cursor_3x3,108.62,284.38,1,1,9,"[(108, 283), (108, 284), (108, 285), (109, 283), (109, 284), (109, 285), (110, 283), (110, 284), (110, 285)]"
J10,Cursor_3x3,426.32,272.10,1,1,9,"[(425, 271), (425, 272), (425, 273), (426, 271), (426, 272), (426, 273), (427, 271), (427, 272), (427, 273)]"
J10,Cursor_3x3,356.20,258.83,1,1,9,"[(355, 258), (355, 259), (355, 260), (356, 258), (356, 259), (356, 260), (357, 258), (357, 259), (357, 260)]"
